Date,NSA Value,SA Value
1995-03-31,86.797138082,86.581462436
1995-02-28,86.560038916,86.725671977
1995-01-31,86.539452976,86.637170804
1994-12-31,86.765549624,86.709520405
1994-11-30,87.08166544,86.729857436
1994-10-31,87.245512299,86.719108285
1994-09-30,87.274024996,86.632128833
1994-08-31,87.362049995,86.518998388
1994-07-31,87.309264153,86.33026723
1994-06-30,86.93730042,86.00414165
1994-05-31,86.190530624,85.571712571
1994-04-30,85.471682511,85.107892999
1994-03-31,84.861036911,84.600033566
1994-02-28,83.873477639,84.00274295
1994-01-31,83.018162934,83.074975808
1993-12-31,82.763725636,82.77035417
1993-11-30,82.567434333,82.217892275
1993-10-31,82.184149808,81.715173967
1993-09-30,81.837909308,81.25730448
1993-08-31,81.548116936,80.806370927
1993-07-31,81.326570721,80.44329065
1993-06-30,80.724785424,79.894370961
1993-05-31,79.829529131,79.265161106
1993-04-30,79.090290989,78.691349679
1993-03-31,78.431438168,78.133523252
1993-02-28,77.690394592,77.726381887
1993-01-31,77.193749972,77.187236359
1992-12-31,77.361593173,77.413607551
1992-11-30,77.624225945,77.29069358
1992-10-31,77.517709232,77.122850884
1992-09-30,77.281283939,76.787217445
1992-08-31,77.072549552,76.425079785
1992-07-31,76.847369628,76.069271404
1992-06-30,76.59039084,75.852087444
1992-05-31,76.384254463,75.835985084
1992-04-30,76.381861915,75.93885723
1992-03-31,76.472027815,76.121741248
1992-02-29,76.229056433,76.131988292
1992-01-31,75.627619617,75.54201583
1991-12-31,75.053470219,75.135967613
1991-11-30,74.787035749,74.488900161
1991-10-31,74.796859655,74.489821978
1991-09-30,74.827855085,74.41597713
1991-08-31,74.819886838,74.234510068
1991-07-31,74.83756932,74.118413193
1991-06-30,74.767828666,74.057619029
1991-05-31,74.495228793,73.932583661
1991-04-30,74.140773955,73.684830059
1991-03-31,73.713215366,73.35281839
1991-02-28,73.26120364,73.065330904
1991-01-31,72.922422937,72.79778846
1990-12-31,72.461365372,72.557442676
1990-11-30,72.008767029,71.742050977
1990-10-31,72.006715376,71.751541632
1990-09-30,72.259813252,71.911129664
1990-08-31,72.47713265,71.929099645
1990-07-31,72.551017151,71.866099663
1990-06-30,72.347322489,71.656903214
1990-05-31,71.942297455,71.383311477
1990-04-30,71.591154163,71.15108343
1990-03-31,71.468713701,71.117895096
1990-02-28,71.530940637,71.282736356
1990-01-31,71.7584149,71.619299136
1989-12-31,71.970894811,72.007319344
1989-11-30,72.015720347,71.723903083
1989-10-31,72.237283613,71.883541648
1989-09-30,72.526516855,72.074319325
1989-08-31,72.491518616,71.874855259
1989-07-31,72.205375946,71.465265344
1989-06-30,71.782244841,71.068687942
1989-05-31,71.321853637,70.797638536
1989-04-30,71.019191388,70.63003045
1989-03-31,70.915308167,70.613864401
1989-02-28,70.839918976,70.763110589
1989-01-31,70.879072265,70.819785606
1988-12-31,71.071273046,71.107242302
1988-11-30,71.178908077,70.890481622
1988-10-31,71.232812574,70.883989721
1988-09-30,71.457743674,71.012209422
1988-08-31,71.9923196,71.379902681
1988-07-31,72.64482264,71.900207676
1988-06-30,72.964124987,72.238819119
1988-05-31,72.863894795,72.328345583
1988-04-30,72.808267249,72.40930299
1988-03-31,72.890118052,72.580279675
1988-02-29,72.822647832,72.743689643
1988-01-31,72.660952922,72.600176169
1987-12-31,72.646827961,72.683594729
1987-11-30,73.105970837,72.809735573
1987-10-31,73.95370777,73.591560516
1987-09-30,74.691728705,74.226031149
1987-08-31,75.03717657,74.398858181
1987-07-31,74.939053432,74.170922314
1987-06-30,74.172868235,73.435546786
1987-05-31,74.632234987,74.083688464
1987-04-30,76.34559641,75.927248386
1987-03-31,76.886336997,76.559511692
1987-02-28,76.571280342,76.488257684
1987-01-31,76.271370404,76.207573511
1986-12-31,76.19136227,76.229922829
1986-11-30,76.267519224,75.958473154
1986-10-31,76.499511929,76.124897935
1986-09-30,76.950710368,76.470927972
1986-08-31,77.539190732,76.879588398
1986-07-31,77.919275151,77.120596625
1986-06-30,78.067068577,77.291036444
1986-05-31,78.108688757,77.534590285
1986-04-30,77.681077829,77.255411755
1986-03-31,77.042856115,76.715365428
1986-02-28,76.90144613,76.818065853
1986-01-31,76.893713835,76.829396496
1985-12-31,76.838771261,76.877659179
1985-11-30,77.102078839,76.789651128
1985-10-31,77.357559382,76.978743712
1985-09-30,77.366098011,76.883725764
1985-08-31,77.110538306,76.454582578
1985-07-31,76.801019388,76.013803224
1985-06-30,76.670452324,75.908303553
1985-05-31,76.51164157,75.949281112
1985-04-30,76.315855215,75.897670506
1985-03-31,76.146606182,75.822925258
1985-02-28,76.027115901,75.94468327
1985-01-31,76.055996346,75.992379602
1984-12-31,76.244859214,76.283446688
1984-11-30,76.40448974,76.094888376
1984-10-31,76.391467219,76.017382537
1984-09-30,76.43285237,75.956298965
1984-08-31,76.517414909,75.866504399
1984-07-31,76.161188274,75.380530236
1984-06-30,75.658372313,74.906284081
1984-05-31,75.37298976,74.818998824
1984-04-30,75.1015177,74.689986706
1984-03-31,74.922142793,74.603667018
1984-02-29,74.991166123,74.909856876
1984-01-31,75.382047955,75.318994851
1983-12-31,75.899047307,75.937459811
1983-11-30,76.188322694,75.879597413
1983-10-31,76.166800381,75.793815701
1983-09-30,75.902794183,75.429545432
1983-08-31,75.667324307,75.023645316
1983-07-31,75.733055975,74.956786356
1983-06-30,75.804504207,75.050963398
1983-05-31,75.719989774,75.163448169
1983-04-30,75.56012071,75.146076814
1983-03-31,75.338790865,75.018543565
1983-02-28,75.189475115,75.107950834
1983-01-31,75.259804596,75.196853985
1982-12-31,75.677051055,75.7153511
1982-11-30,76.255013812,75.946018388
1982-10-31,76.512478646,76.13780132
1982-09-30,76.190527289,75.715484898
1982-08-31,75.516570652,74.874174114
1982-07-31,74.958592005,74.190260694
1982-06-30,74.875294112,74.130990305
1982-05-31,75.222732392,74.669845924
1982-04-30,75.55572369,75.14170377
1982-03-31,75.491634724,75.170737982
1982-02-28,75.033253899,74.951899042
1982-01-31,74.382994819,74.320777466
1981-12-31,73.637285844,73.674553831
1981-11-30,72.827246949,72.532141113
1981-10-31,72.073727762,71.720786667
1981-09-30,71.52629582,71.080334294
1981-08-31,71.085116807,70.480417332
1981-07-31,70.61163567,69.88786082
1981-06-30,70.397712433,69.697918109
1981-05-31,70.547575295,70.029051077
1981-04-30,70.250555914,69.865606914
1981-03-31,69.324595175,69.029912942
1981-02-28,68.505097527,68.430820756
1981-01-31,68.071400464,68.014462147
1980-12-31,68.0012975,68.035712906
1980-11-30,68.180284855,67.904009241
1980-10-31,68.324880112,67.990296966
1980-09-30,68.003607447,67.579609709
1980-08-31,67.389691883,66.816428135
1980-07-31,66.999894027,66.313139702
1980-06-30,67.005929701,66.339851874
1980-05-31,67.256952525,66.762614245
1980-04-30,66.829469369,66.463266641
1980-03-31,65.943355908,65.663046317
1980-02-29,65.567934396,65.496842355
1980-01-31,65.33690556,65.28225475
1979-12-31,64.797824748,64.830618939
1979-11-30,64.033703821,63.774230777
1979-10-31,63.332402316,63.022267207
1979-09-30,62.885989034,62.493899262
1979-08-31,62.444725088,61.913526767
1979-07-31,61.823472496,61.189777147
1979-06-30,61.372925838,60.762843276
1979-05-31,61.248694877,60.798517197
1979-04-30,60.5463993,60.214625725
1979-03-31,59.221589221,58.969852312
1979-02-28,58.321626351,58.258391087
1979-01-31,57.872114069,57.823707227
1978-12-31,57.486662021,57.515755959
1978-11-30,56.929621048,56.698934633
1978-10-31,56.339276584,56.063386157
1978-09-30,56.055980168,55.706475163
1978-08-31,55.803003437,55.328304345
1978-07-31,55.178989514,54.613400689
1978-06-30,54.554867126,54.01256012
1978-05-31,54.510937817,54.110282588
1978-04-30,53.824270846,53.529332105
1978-03-31,52.323110227,52.100697301
1978-02-28,51.291389868,51.235777122
1978-01-31,50.674425069,50.632038751
1977-12-31,50.171664321,50.197056137
1977-11-30,49.398107011,49.197939317
1977-10-31,48.412142968,48.175071434
1977-09-30,47.70225524,47.404835145
1977-08-31,47.265779164,46.863703576
1977-07-31,46.956898573,46.475586804
1977-06-30,47.253945558,46.78421378
1977-05-31,48.396334554,48.040621835
1977-04-30,48.016072394,47.752960712
1977-03-31,46.077164457,45.8813015
1977-02-28,44.929674445,44.880959305
1977-01-31,44.512620328,44.475387931
1976-12-31,44.383664649,44.406127179
1976-11-30,44.190873807,44.011806495
1976-10-31,43.878476496,43.663606081
1976-09-30,43.661215891,43.388991319
1976-08-31,43.587299069,43.216515092
1976-07-31,43.635471908,43.188204958
1976-06-30,43.90965535,43.473167905
1976-05-31,44.410075107,44.083661252
1976-04-30,44.101972598,43.860308872
1976-03-31,42.979441235,42.796745936
1976-02-29,42.202493353,42.156735334
1976-01-31,41.919689799,41.884626267
1975-12-31,41.826482251,41.847650644
1975-11-30,41.635594601,41.466881648
1975-10-31,41.430076974,41.227196182
1975-09-30,41.307744159,41.050193337
1975-08-31,41.161522725,40.811374165
1975-07-31,41.115775321,40.694335447
1975-06-30,41.369417976,40.958181914
1975-05-31,41.83194385,41.524479292
1975-04-30,41.510914803,41.283449081
1975-03-31,40.481832941,40.309754321
1975-02-28,39.789121353,39.745979879
1975-01-31,39.41170844,39.378742645
