series_id,name,units,type,month
A3534917K,Implicit Price Deflators ;  Household electrical items,Index Numbers,Seasonally Adjusted,3
A3534918L,Implicit Price Deflators ;  Non-industrial transport equipment,Index Numbers,Seasonally Adjusted,3
A3534919R,"Implicit Price Deflators ;  Textiles, clothing and footwear",Index Numbers,Seasonally Adjusted,3
A3534920X,"Implicit Price Deflators ;  Toys, books and leisure goods",Index Numbers,Seasonally Adjusted,3
A3534921A,Implicit Price Deflators ;  Consumption goods n.e.s.,Index Numbers,Seasonally Adjusted,3
A3534922C,Implicit Price Deflators ;  Capital goods,Index Numbers,Seasonally Adjusted,3
A3534923F,Implicit Price Deflators ;  Machinery and industrial equipment,Index Numbers,Seasonally Adjusted,3
A3534924J,Implicit Price Deflators ;  ADP equipment,Index Numbers,Seasonally Adjusted,3
A3534925K,Implicit Price Deflators ;  Telecommunications equipment,Index Numbers,Seasonally Adjusted,3
A3534926L,Implicit Price Deflators ;  Civil aircraft and confidentialised items,Index Numbers,Seasonally Adjusted,3
A3534927R,Implicit Price Deflators ;  Industrial transport equipment n.e.s.,Index Numbers,Seasonally Adjusted,3
A3534928T,Implicit Price Deflators ;  Capital goods n.e.s.,Index Numbers,Seasonally Adjusted,3
A3534929V,Implicit Price Deflators ;  Intermediate and other merchandise goods,Index Numbers,Seasonally Adjusted,3
A3534930C,"Implicit Price Deflators ;  Food and beverages, mainly for industry",Index Numbers,Seasonally Adjusted,3
A3534931F,Implicit Price Deflators ;  Primary industrial supplies n.e.s.,Index Numbers,Seasonally Adjusted,3
A3534932J,Implicit Price Deflators ;  Fuels and lubricants,Index Numbers,Seasonally Adjusted,3
A3534933K,Implicit Price Deflators ;  Parts for transport equipment,Index Numbers,Seasonally Adjusted,3
A3534934L,Implicit Price Deflators ;  Parts for ADP equipment,Index Numbers,Seasonally Adjusted,3
A3534935R,Implicit Price Deflators ;  Other parts for capital goods,Index Numbers,Seasonally Adjusted,3
A3534936T,Implicit Price Deflators ;  Organic and inorganic chemicals,Index Numbers,Seasonally Adjusted,3
A3534937V,Implicit Price Deflators ;  Paper and paperboard,Index Numbers,Seasonally Adjusted,3
A3534938W,Implicit Price Deflators ;  Textile yarn and fabrics,Index Numbers,Seasonally Adjusted,3
A3534939X,Implicit Price Deflators ;  Iron and steel,Index Numbers,Seasonally Adjusted,3
A3534940J,Implicit Price Deflators ;  Plastics,Index Numbers,Seasonally Adjusted,3
A3534941K,Implicit Price Deflators ;  Processed industrial supplies n.e.s.,Index Numbers,Seasonally Adjusted,3
A3534942L,Implicit Price Deflators ;  Other merchandise goods,Index Numbers,Seasonally Adjusted,3
A3534943R,Implicit Price Deflators ;  Goods procured in ports by carriers,Index Numbers,Seasonally Adjusted,3
A3534944T,Implicit Price Deflators ;  Non-monetary gold,Index Numbers,Seasonally Adjusted,3
A3533815C,Current Prices ;  Services,$ Millions,Original,3
A3533853T,Current Prices ;  Manufacturing services on physical inputs owned by others,$ Millions,Original,3
A3534025C,Current Prices ;  Maintenance and repair services n.i.e.,$ Millions,Original,3
A3533816F,Current Prices ;  Transport,$ Millions,Original,3
A3533791W,Current Prices ;  Passenger transport,$ Millions,Original,3
A3533904F,Current Prices ;  Freight transport,$ Millions,Original,3
A3533733X,Current Prices ;  Other transport,$ Millions,Original,3
A3533755L,Current Prices ;  Postal and courier transport,$ Millions,Original,3
A3533854V,Current Prices ;  Travel,$ Millions,Original,3
A3533930K,Current Prices ;  Business travel,$ Millions,Original,3
A3533688X,Current Prices ;  Personal travel,$ Millions,Original,3
A3533756R,Current Prices ;  Education-related personal travel,$ Millions,Original,3
A3534008A,Current Prices ;  Other personal travel,$ Millions,Original,3
A3533879R,Current Prices ;  Construction,$ Millions,Original,3
A3533835L,Current Prices ;  Insurance and pension services,$ Millions,Original,3
A3534026F,Current Prices ;  Insurance and pension services - Direct insurance,$ Millions,Original,3
A3533817J,"Current Prices ;  Insurance and pension services - Direct insurance, Freight",$ Millions,Original,3
A3533984T,"Current Prices ;  Insurance and pension services - Direct insurance, Life",$ Millions,Original,3
